turn,board_state,winner
W,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOOOWOOOB', 'BBWWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOWOWOOOB', 'BBOWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOWBWOOOB', 'BBOWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOWOWOOOB', 'BBOWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOOBBOOO', 'OOOOOOOOO', 'OOOWBOOOO', 'BOWOOOOOB', 'BBOWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOOBBOOO', 'OOOOOOOOO', 'OOOWBOOOO', 'BOWOOOOOB', 'BBOOKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOWBOOOO', 'OOOBBBOOO']",WW
W,"['OOOOBOOOO', 'OOOOOOOOO', 'OOOWBOOOO', 'BOWOOBOOB', 'BBOOKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOWBOOOO', 'OOOBBBOOO']",WW
B,"['OOOOBOOOO', 'OOOOOOOOO', 'OOOWOOOOO', 'BOWOKBOOB', 'BBOOTWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOWBOOOO', 'OOOBBBOOO']",WW
W,"['OOOOBOOOO', 'OOOOOOOOO', 'OOOWOOOOO', 'BOWOKBOOB', 'BBOOTOWBB', 'BOOOWBOOO', 'OOOOWOOOO', 'OOOWBOOOO', 'OOOBBBOOO']",WW
B,"['OOOOBOOOO', 'OOOOOOOOO', 'OOOWOOOOO', 'BWOOKBOOB', 'BBOOTOWBB', 'BOOOWBOOO', 'OOOOWOOOO', 'OOOWBOOOO', 'OOOBBBOOO']",WW
W,"['OOBOOOOOO', 'OOOOOOOOO', 'OOOWOOOOO', 'BWOOKBOOB', 'BBOOTOWBB', 'BOOOWBOOO', 'OOOOWOOOO', 'OOOWBOOOO', 'OOOBBBOOO']",WW
B,"['OOBOOOOOO', 'OOOOOOOOO', 'OOOWOOOOO', 'BWKOOBOOB', 'BBOOTOWBB', 'BOOOWBOOO', 'OOOOWOOOO', 'OOOWBOOOO', 'OOOBBBOOO']",WW
W,"['OOBOOOOOO', 'OOOOOOOOO', 'OOOWOOOOO', 'BWKOOBOOB', 'BOBOTOWBB', 'BOOOWBOOO', 'OOOOWOOOO', 'OOOWBOOOO', 'OOOBBBOOO']",WW
B,"['OWOOOOOOO', 'OOOOOOOOO', 'OOOWOOOOO', 'BOKOOBOOB', 'BOBOTOWBB', 'BOOOWBOOO', 'OOOOWOOOO', 'OOOWBOOOO', 'OOOBBBOOO']",WW
W,"['OWOOOOOOO', 'OOOOOOOOO', 'OOOWOOOOO', 'BOKOOOOOB', 'BOBOTBOBB', 'BOOOWBOOO', 'OOOOWOOOO', 'OOOWBOOOO', 'OOOBBBOOO']",WW
W,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOOOWOOOB', 'BBWWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",BW
B,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOOWWOOOB', 'BBWOKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",BW
W,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOOWWOOOB', 'BBOBKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",BW
B,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOOWWOOOB', 'BBOOKWWBB', 'BOOWOOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",BW
W,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOOWWOOOB', 'BOOBKWWBB', 'BOOWOOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",BW
B,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOOWWOOOB', 'BOOBKOWBB', 'BOOWOWOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",BW
